workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
8,One,8,26277,0.4,0.4,discrete,square,yes,0.4,0.4,0,0,0,1,vsupdiscretesquare
8,One,9,18659,0.3,0.6,discrete,arc,no,0.3,0.6,0,0,0,1,discretearc
8,One,11,15449,0.4,0.8,discrete,arc,no,0.4,0.8,0,0,0,1,discretearc
8,One,7,23417,0.45,0.1,discrete,square,yes,0.45,0.1,0,0,0,1,vsupdiscretesquare
8,One,12,13619,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
8,One,10,17903,0.8,0.6,discrete,square,yes,0.8,0.6,0,0,0,1,vsupdiscretesquare
8,One,3,31468,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
8,One,14,26776,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
8,One,5,18357,0.3,0.6,discrete,arc,no,0.4,0.4,-0.1,0.2,0.1,0,discretearc
8,One,13,15933,0.4,0.8,discrete,square,no,0.4,0.8,0,0,0,1,discretesquare
8,One,15,25723,0.7,0.4,discrete,square,no,0.7,0.4,0,0,0,1,discretesquare
9,One,5,45788,0.2,0.1,discrete,square,yes,0.2,0.1,0,0,0,1,vsupdiscretesquare
9,One,4,26088,0.4,0.8,discrete,arc,yes,0.4,0.8,0,0,0,1,vsupdiscretearc
9,One,1,39740,0.8,0.6,discrete,arc,yes,0.8,0.4,0,0.2,0.2,0,vsupdiscretearc
9,One,8,17451,0.3,0.6,discrete,arc,yes,0.1,0.4,0.2,0.2,0.4,0,vsupdiscretearc
9,One,6,29411,0.8,0.6,discrete,arc,no,0.8,0.6,0,0,0,1,discretearc
9,One,9,30327,0.8,0.6,discrete,arc,yes,0.8,0.6,0,0,0,1,vsupdiscretearc
9,One,7,18623,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
9,One,2,33241,0.1,0.4,discrete,square,yes,0.2,0.1,-0.1,0.3,0.2,0,vsupdiscretesquare
9,One,12,21848,0.8,0.6,discrete,square,no,0.8,0.6,0,0,0,1,discretesquare
9,One,3,17477,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
8,One,16,17050,0.8,0.6,discrete,arc,yes,0.8,0.6,0,0,0,1,vsupdiscretearc
9,One,13,23789,0.1,0.4,discrete,arc,no,0.1,0.4,0,0,0,1,discretearc
9,One,10,15269,0.3,0.6,discrete,square,yes,0.3,0.6,0,0,0,1,vsupdiscretesquare
9,One,14,15007,0.7,0.4,discrete,square,no,0.7,0.4,0,0,0,1,discretesquare
9,One,15,20007,0.2,0.1,discrete,arc,no,0.2,0.1,0,0,0,1,discretearc
10,One,4,14851,0.1,0.4,discrete,square,yes,0.2,0.1,-0.1,0.3,0.2,0,vsupdiscretesquare
9,One,16,21931,0.7,0.4,discrete,square,no,0.7,0.4,0,0,0,1,discretesquare
10,One,5,13759,0.4,0.8,discrete,arc,yes,0.95,0.1,-0.55,0.7,0.15,0,vsupdiscretearc
10,One,1,18937,0.7,0.4,discrete,arc,yes,0.8,0.4,-0.1,0,-0.1,0,vsupdiscretearc
10,One,3,12275,0.8,0.6,discrete,arc,yes,0.7,0.4,0.1,0.2,0.3,0,vsupdiscretearc
10,One,9,7900,0.4,0.8,discrete,square,yes,0.7,0.1,-0.3,0.7,0.4,0,vsupdiscretesquare
10,One,10,8591,0.3,0.6,discrete,square,yes,0.3,0.6,0,0,0,1,vsupdiscretesquare
10,One,7,11270,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
10,One,6,9757,0.8,0.4,discrete,square,no,0.8,0.6,0,-0.2,-0.2,0,discretesquare
10,One,2,13003,0.8,0.4,discrete,arc,no,0.8,0.6,0,-0.2,-0.2,0,discretearc
10,One,14,6093,0.2,0.1,discrete,arc,no,0.2,0.1,0,0,0,1,discretearc
