workerId,task,index,rt,v,u,type,ramp,size,qShort,vError,uError,error
5,One,6,4688,0,0,2D,Lightness,4,0u0v,0,0,0
5,One,7,13327,1,1,juxta,Lightness,4,1uav,0,0,0
5,One,8,8995,0.055787449281721,0.40976791981936,juxta,Lightness,8,0u0v,0.055787449281721,0.40976791981936,0.46555536910108
5,One,9,10442,1,1,vsup,Lightness,4,0u1v,0,1,1
5,One,11,6155,0,0,juxta,Lightness,4,0u0v,0,0,0
5,One,10,9958,1,0,juxta,Lightness,8,0u1v,0,0,0
5,One,13,6473,0.73819139241721,0.56932169968306,2D,Lightness,8,1uav,0,0.43067830031694,0.43067830031694
5,One,12,5122,0,0,vsup,Lightness,8,1uav,0,1,1
5,One,14,2872,0,0,vsup,Lightness,4,1uav,0,1,1
5,One,16,9193,1,1,juxta,Lightness,8,1uav,0,0,0
5,One,15,7200,0,1,vsup,Lightness,8,0u0v,0,1,1
5,One,17,5121,1,0,juxta,Lightness,4,0u1v,0,0,0
5,One,18,8807,1,0,2D,Lightness,4,0u1v,0,0,0
6,One,1,13975,1,0,vsup,Lightness,8,1uav,0,1,1
6,One,3,28999,0,0,vsup,Lightness,4,0u0v,0,0,0
6,One,2,10130,0,1,vsup,Lightness,8,0u1v,1,1,2
6,One,4,12707,1,1,2D,Lightness,8,1uav,0,0,0
6,One,5,44314,0,0,juxta,Lightness,8,0u0v,0,0,0
6,One,6,13463,1,0,2D,Lightness,4,0u1v,0,0,0
6,One,7,20742,0,0,2D,Lightness,4,0u0v,0,0,0
6,One,8,14016,0,1,juxta,Lightness,4,1uav,0,0,0
6,One,9,19023,1,0,juxta,Lightness,4,0u1v,0,0,0
6,One,11,26234,1,1,2D,Lightness,4,1uav,0,0,0
6,One,10,12000,0,0,vsup,Lightness,8,0u0v,0,0,0
6,One,12,7684,1,1,vsup,Lightness,4,1uav,0,0,0
6,One,14,8166,1,0,2D,Lightness,8,0u0v,1,0,1
6,One,13,7049,0.62421988975559,1,juxta,Lightness,8,1uav,0,0,0
6,One,15,9984,1,0,2D,Lightness,8,0u1v,0,0,0
6,One,17,57844,0,0.45699737436181,juxta,Lightness,4,0u0v,0,0.45699737436181,0.45699737436181
6,One,18,16156,1,0,juxta,Lightness,8,0u1v,0,0,0
6,One,16,9560,1,0,vsup,Lightness,4,0u1v,0,0,0
7,One,1,14041,1,0.66666666666667,2D,Lightness,8,1uav,0,0.33333333333333,0.33333333333333
7,One,4,7188,0,1,vsup,Lightness,4,0u1v,1,1,2
7,One,2,6993,0,1,vsup,Lightness,8,0u1v,1,1,2
7,One,5,2995,1,1,2D,Lightness,4,0u1v,0,1,1
7,One,3,5573,1,1,vsup,Lightness,4,0u0v,1,1,2
7,One,6,18701,1,0,juxta,Lightness,4,0u1v,0,0,0
7,One,8,10441,0.90986224798644,0.57564503565856,juxta,Lightness,4,1uav,0,0.42435496434144,0.42435496434144
7,One,9,3051,0.70181197974871,0.54958663490303,2D,Lightness,8,0u1v,0.29818802025129,0.54958663490303,0.84777465515432
7,One,10,1717,1,1,vsup,Lightness,8,1uav,0,0,0
7,One,11,2567,1,1,2D,Lightness,4,1uav,0,0,0
7,One,12,1815,1,1,vsup,Lightness,4,1uav,0,0,0
7,One,13,2561,1,1,2D,Lightness,4,0u0v,1,1,2
7,One,14,3617,0.97175556161379,0.54562774210853,juxta,Lightness,4,0u0v,0.97175556161379,0.54562774210853,1.5173833037223
7,One,7,7072,0.90588950465518,0.52175392623263,juxta,Lightness,8,0u0v,0.90588950465518,0.52175392623263,1.4276434308878
7,One,15,1877,0.93729874863003,0.48029010710256,juxta,Lightness,8,0u1v,0.062701251369973,0.48029010710256,0.54299135847253
7,One,16,3136,1,0,juxta,Lightness,8,1uav,0,1,1
7,One,17,1928,0,1,vsup,Lightness,8,0u0v,0,1,1
8,One,1,20410,0,0,juxta,Lightness,8,0u0v,0,0,0
7,One,18,2348,1,1,2D,Lightness,8,0u0v,1,1,2
8,One,2,13404,0,1,juxta,Lightness,4,1uav,0,0,0
8,One,3,21932,1,0,juxta,Lightness,8,0u1v,0,0,0
8,One,4,43361,0,0,vsup,Lightness,8,0u0v,0,0,0
8,One,7,12730,1,1,2D,Lightness,8,1uav,0,0,0
8,One,6,45898,0,0,vsup,Lightness,4,0u0v,0,0,0
8,One,5,14248,0,0,juxta,Lightness,4,0u0v,0,0,0
8,One,8,18261,0.5528566028951,1,2D,Lightness,4,1uav,0,0,0
8,One,9,8215,0.92874108775636,0.42501406291601,vsup,Lightness,8,0u1v,0.071258912243645,0.42501406291601,0.49627297515966
8,One,11,8417,0.5805834739859,1,vsup,Lightness,4,1uav,0,0,0
8,One,10,24939,0,0,2D,Lightness,4,0u0v,0,0,0
8,One,12,14131,1,0,juxta,Lightness,4,0u1v,0,0,0
8,One,14,8733,1,0,2D,Lightness,4,0u1v,0,0,0
8,One,13,4897,0,0,2D,Lightness,8,0u0v,0,0,0
8,One,17,22218,0,1,juxta,Lightness,8,1uav,0,0,0
8,One,15,6630,0.79432053271144,0.3867016323209,2D,Lightness,8,0u1v,0.20567946728856,0.3867016323209,0.59238109960946
8,One,18,9955,1,1,vsup,Lightness,8,1uav,0,0,0
9,One,1,11918,0,1,juxta,Lightness,4,0u0v,0,1,1
8,One,16,14231,0.53829857607322,0.41926436487723,vsup,Lightness,4,0u1v,0.46170142392678,0.41926436487723,0.88096578880401
9,One,3,12244,0.36582305738427,1,vsup,Lightness,4,0u1v,0.63417694261573,1,1.6341769426157
9,One,2,13882,0,0,2D,Lightness,8,0u0v,0,0,0
9,One,4,6003,0.38224599150799,0.24241562500473,juxta,Lightness,8,1uav,0,0.75758437499527,0.75758437499527
